id,question,options,explanation,image_paths,img_type,answer,topic_difficulty,question_type,subfield
validation_Economics_6,"Suppose that your demand schedule for DVDs is as follows: <image 1> what is your price elasticity of demand as the price of DVDs increases from $8 to $10 if your income is $12,000?","['0.17', '0.27', '0.37', '0.47']",,MMMU_Economics_images/validation\validation_Economics_6_image_1.png,['Tables'],D,Hard,multiple-choice,Principals of Economics
validation_Economics_7,The graph below shows the AD-AS diagram for Spain. All numbers are in billions. <image 1> What is the size of real GDP in the short-run equilibrium?,"['500', '450', '400', '600']",,MMMU_Economics_images/validation\validation_Economics_7_image_1.png,['Plots and Charts'],C,Medium,multiple-choice,Macroeconomics
validation_Economics_8,"Consider the following table showing the breakdown of GDP (in billions) for China. <image 1> Using the expenditure approach, calculate GDP for China.","['2510', '2500', '2410']",,MMMU_Economics_images/validation\validation_Economics_8_image_1.png,['Tables'],A,Medium,multiple-choice,Macroeconomics
validation_Economics_9,"<image 1> If the economy starts at B and the money supply growth rate increases, in the long run the economy","['moves to C.', 'moves to D.', 'stays at B.']",,MMMU_Economics_images/validation\validation_Economics_9_image_1.png,['Plots and Charts'],B,Medium,multiple-choice,Macroeconomics
validation_Economics_10,"The market for pizza has the following demand and supply schedules:<image 1> If the actual price in this market were above the equilibrium price, what would drive the market toward the equilibrium?","['excess supply', 'excess demand', 'both', 'neither']",,MMMU_Economics_images/validation\validation_Economics_10_image_1.png,['Tables'],A,Medium,multiple-choice,Principals of Economics
validation_Economics_11,Why is it probable that a monopoly exists in this market? <image 1>,"['There are decreasing returns to scale well beyond the size of the market. ', 'There are increasing returns to scale well beyond the size of the market. ', 'There are constant returns to scale well beyond the size of the market. ']",,MMMU_Economics_images/validation\validation_Economics_11_image_1.png,['Plots and Charts'],B,Easy,multiple-choice,Microeconomics
validation_Economics_12,Consider the following table showing the breakdown of GDP (in billions) for China.  <image 1> What are net exports for China? ,"['10', '5', '20']",,MMMU_Economics_images/validation\validation_Economics_12_image_1.png,['Tables'],A,Easy,multiple-choice,Macroeconomics
validation_Economics_13,"Suppose that a typical market based in Japan consists of 200 Apples and 290 Textbooks. The table below shows data on prices for Apples and Textbooks in Japan for three years. <image 1> Assume that the base year is 2015. Given this data, what is the price of the basket in 2014?","['$58,280', '$64,420', '$71,520', '$42,450']",,MMMU_Economics_images/validation\validation_Economics_13_image_1.png,['Tables'],A,Easy,multiple-choice,Macroeconomics
validation_Economics_14,"Suppose that the price of basketball tickets at your college is determined by market forces. Currently, the demand and supply schedules are as follows: <image 1> Your college plans to increase total enrollment next year by 5,000 students. The additional students will have the following demand schedule: <image 2> Now add the old demand schedule and the demand schedule for the new students to calculate the new demand schedule for the entire college. What will be the new equilibrium price?","['10', '11', '12', '13']",,MMMU_Economics_images/validation\validation_Economics_14_image_1.png;MMMU_Economics_images/validation\validation_Economics_14_image_2.png,['Plots and Charts'],C,Medium,multiple-choice,Principals of Economics
validation_Economics_15,The graph below shows the AD-AS diagram for Spain. Suppose that the economy experiences a positive aggregate supply shock denoted by the move from SRAS1 to SRAS2. Note that the new curve is shown in gray. <image 1> What happened to the structural unemployment in Spain (select one)?,"['Structural unemployment remained the same.', 'Structural unemployment decreased.', 'Structural unemployment increased.']",,MMMU_Economics_images/validation\validation_Economics_15_image_1.png,['Plots and Charts'],A,Medium,multiple-choice,Macroeconomics
validation_Economics_16,A recent study found that the demand and supply schedules for Frisbees are as follows:<image 1> Frisbee manufacturers persuade the government that Frisbee production improves scientists' understanding of aerodynamics and thus is important for national security. A concerned Congress votes to impose a price floor $2 above the equilibrium price. What is the new market price?,"['8', '9', '10', '11']",,MMMU_Economics_images/validation\validation_Economics_16_image_1.png,['Tables'],C,Medium,multiple-choice,Principals of Economics
validation_Economics_17,"Consider the following statistics for the banking sector in Canada displayed in the table below (all numbers in billions of domestic currency). <image 1> Using the data above, calculate M1 for Canada.","['2601', '2734', '2634', '2871']",,MMMU_Economics_images/validation\validation_Economics_17_image_1.png,['Tables'],A,Easy,multiple-choice,Macroeconomics
validation_Economics_18,The graph below shows the Long-Run Aggregate Supply Curves (LRAS) for Brazil. <image 1> What event could shift LRAS from LRAS1 (black color) to LRAS2 (red color) in Brazil (select one)?,"['Increase in capital.', 'Decrease in labor.', 'Decrease in human capital.']",,MMMU_Economics_images/validation\validation_Economics_18_image_1.png,['Plots and Charts'],A,Medium,multiple-choice,Macroeconomics
validation_Economics_19,"Consider a prisoners' dilemma game by two oligopolist, which strategy is dominant? <image 1>","[""Dominant strategy is 'High output' (low price) for both firms."", ""Dominant strategy is 'Low output' (high price) for both firms."", ""Dominant strategy is 'High output' (low price) for one of the firms and 'Low output' (high price) for the other.""]","Arguments by firm 1: If firm 2 chooses low output, we choose high output (5 > 3). If firm 2 chooses high output, we choose again high output (2 > 0). Therefore, irrespective of the choice of firm 2, we choose high output. The same arguments can be made by firm 2 because the game is symmetrical.",MMMU_Economics_images/validation\validation_Economics_19_image_1.png,['Tables'],A,Medium,multiple-choice,Microeconomics
validation_Economics_20,The graph below shows the supply and demand curves and the world price for bagels. <image 1> What is the equilibrium price if this country does not trade?,[],,MMMU_Economics_images/validation\validation_Economics_20_image_1.png,['Plots and Charts'],8,Medium,open,Macroeconomics
validation_Economics_21,Table 11.4 describes Santher's economy. <image 1> Would you expect unemployment in this economy to be relatively high or low?,"['the unemployment rate for this economy is high', 'the unemployment rate for this economy is low', 'not certain']",,MMMU_Economics_images/validation\validation_Economics_21_image_1.png,['Tables'],B,Medium,multiple-choice,Macroeconomics
validation_Economics_22,<image 1> The central bank increases the money supply. What happens to GDP and to the price level?,"['GDP and the price level fall.', 'GDP and the price level rise.', 'Nothing happens.']",Money supply rises. Interest rates fall. Aggregate demand (investment) rises. GDP and the price level rise.,MMMU_Economics_images/validation\validation_Economics_22_image_1.png,['Plots and Charts'],B,Medium,multiple-choice,Macroeconomics
validation_Economics_23,"Consider the following balance sheet for TD. <image 1> Suppose that TD is a typical bank and keeps only the required reserves. In addition, suppose that someone deposited $700. Given this data, what is the total change in the M1 Money Supply?","['$4118', '$3418', '$700', '$5118']",,MMMU_Economics_images/validation\validation_Economics_23_image_1.png,['Tables'],B,Hard,multiple-choice,Macroeconomics
validation_Economics_24,"According to the results in Model 2, if we want to test the null that the Coefficient associated to a level C3 branch is equal to that of a C4 branch, and knowing that $Prob[t(545) $ \leqslant $ -2]=0.025$ <image 1> ","['The null must be rejected at the 5% significance level.', 'The null cannot be rejected at the 5% significance level.', 'There is not enough information in the problem statement to test this null.']",,MMMU_Economics_images/validation\validation_Economics_24_image_1.png,['Tables'],C,Medium,multiple-choice,Econometrics
validation_Economics_25,"Suppose that the price of basketball tickets at your college is determined by market forces. Currently, the demand and supply schedules are as follows: <image 1> Your college plans to increase total enrollment next year by 5,000 students. The additional students will have the following demand schedule: <image 2> Now add the old demand schedule and the demand schedule for the new students to calculate the new demand schedule for the entire college. What will be the new equilibrium quantity?","['6000', '7000', '8000', '9000']",,MMMU_Economics_images/validation\validation_Economics_25_image_1.png;MMMU_Economics_images/validation\validation_Economics_25_image_2.png,['Tables'],C,Medium,multiple-choice,Principals of Economics
validation_Economics_26,"Consider a consumption function, what happens to the consumption-line C in graph 1 if (1) a rises; (2) b rises? <image 1>","['C shifts upwards. ', '(1)C shifts downwards. (2) C gets gentler.', '(1)C gets steeper. (2) C gets gentler.', '(1)C shifts downwards. (2) )C gets steeper.']",,MMMU_Economics_images/validation\validation_Economics_26_image_1.png,['Plots and Charts'],A,Easy,multiple-choice,Macroeconomics
validation_Economics_27,Suppose that a typical market based in Japan consists of 200 Apples and 290 Textbooks. The table below shows data on prices for Apples and Textbooks in Japan for three years. <image 1> Assume that the base year is 2015. What is CPI in 2015?,"['100', '200', '300', '400']",,MMMU_Economics_images/validation\validation_Economics_27_image_1.png,['Tables'],A,Easy,multiple-choice,Macroeconomics
validation_Economics_28,"In case 1, would the worker choose to work or enjoy leisure time? <image 1>","['Leisure time is 24 hours.', 'Leisure time is 12 hours.', 'Leisure time is 8 hours.']","No work is done because (a+b) is on a higher indifference curve (IC 1 higher than IC 2).Thus, there is more total utility if no work is done.",MMMU_Economics_images/validation\validation_Economics_28_image_1.png,['Plots and Charts'],A,Medium,multiple-choice,Microeconomics
validation_Economics_29,"<image 1> Table 9.4 shows the fruit prices that the typical college student purchased from 2001 to 2004. What is the amount spent each year on the ""basket"" of fruit with the quantities shown in column 2?","['2001:$10.70; 2002:$13.80; 2003:$15.35; 2004:$16.31', '2001:$10.80; 2002:$13.70; 2003:$18.35; 2004:$19.31', '2001:$10.80; 2002:$13.80; 2003:$15.35; 2004:$16.31', '2001:$10.70; 2002:$13.70; 2003:$15.35; 2004:$19.31']",,MMMU_Economics_images/validation\validation_Economics_29_image_1.png,['Tables'],A,Easy,multiple-choice,Macroeconomics
validation_Economics_30,"The many identical residents of Whoville love drinking Zlurp. Each resident has the following willingness to pay for the tasty refreshment:<image 1>The cost of producing Zlurp is $1.50, and the competitive suppliers sell it at this price. (The supply curve is horizontal.) Mayor Grinch imposes a $1 tax on Zlurp. What is the external cost?","['1', '2', '3', '4']",,MMMU_Economics_images/validation\validation_Economics_30_image_1.png,['Tables'],C,Easy,multiple-choice,Principals of Economics
test_Economics_1,"<image 1> For a small economy in a fixed exchange rate system that begins in period 0 at the long-run equilibrium point A, the government cuts net taxes. The aggregate demand curve moves from its initial position AD to AD', so that the economy is in short-run equilibrium in period 1 at point B. Assume that the backward-looking component of core inflation dominates the forward-looking component. Which of the following observations will not be true of the ultimate long-run that this economy will attain after the policy change of period 1?","['All non-zero output gaps imply core and actual inflation differ.', 'The fiscal expansionary policy must eventually be reversed for fiscal sustainability.', 'The domestic rate of inflation cannot deviate from the foreign rate of inflation.', 'The new long-run equilibrium will have higher inflation and higher unemployment (i.e. stagflation).']",?,MMMU_Economics_images/test\test_Economics_1_image_1.png,['Plots and Charts'],?,Medium,multiple-choice,Macroeconomics
test_Economics_2,"It is a hot day, and Bert is thirsty. Here is the value he places on a bottle of water:<image 1> If the price of a bottle of water is $2, how many bottles does Bert buy?","['2', '3', '4', '5']",?,MMMU_Economics_images/test\test_Economics_2_image_1.png,['Plots and Charts'],?,Easy,multiple-choice,Principals of Economics
test_Economics_3,"The many identical residents of Whoville love drinking Zlurp. Each resident has the following willingness to pay for the tasty refreshment:<image 1>The cost of producing Zlurp is $1.50, and the competitive suppliers sell it at this price. (The supply curve is horizontal.) Cindy Lou Who, one of the residents of Whoville, decides on her own to reduce her consumption of Zlurp by one bottle. How does Cindy's decision affect total surplus in Whoville?","['increases the total surplus in Whoville by $0.5', 'decreases the total surplus in Whoville by $1', 'increases the total surplus in Whoville by $0.5', 'decreases the total surplus in Whoville by $1']",?,MMMU_Economics_images/test\test_Economics_3_image_1.png,['Tables'],?,Easy,multiple-choice,Principals of Economics
test_Economics_4,What could have caused the shift that is illustrated in the above diagram <image 1>?,"['better production methods in the gun industry.', 'an increase in the number of cows in the economy.', 'an increase in the number of workers in the economy.', 'a technological setback in the gun industry.', 'a reduction in farmland available due to pollution.']",?,MMMU_Economics_images/test\test_Economics_4_image_1.png,['Plots and Charts'],?,Medium,multiple-choice,Macroeconomics
test_Economics_5,The graph below shows the AD-AS diagram for Spain. Suppose that the economy experiences a negative aggregate demand shock denoted by the move from AD1 to AD2. Note that the new curve is shown in gray. <image 1> What happened to the frictional unemployment in Spain (select one)? ,"['Frictional unemployment remained the same.', 'Frictional unemployment decreased.', 'Frictional unemployment increased.']",?,MMMU_Economics_images/test\test_Economics_5_image_1.png,['Plots and Charts'],?,Easy,multiple-choice,Macroeconomics
test_Economics_6,"It is a hot day, and Bert is thirsty. Here is the value he places on a bottle of water:<image 1> If the price of a bottle of water is $2, How much consumer surplus does Bert get from his purchases?","['7', '8', '9', '10']",?,MMMU_Economics_images/test\test_Economics_6_image_1.png,['Plots and Charts'],?,Medium,multiple-choice,Principals of Economics
test_Economics_7,"In the island country of Beckham, tea and crumpets are produced using economic resources. Refer to the provided production possibilities frontier for the question beneath. <image 1>  How would you illustrate economic growth through a transition from?","['A to B.', 'B to C.', 'C to D.', 'D to E.', 'E to A.']",?,MMMU_Economics_images/test\test_Economics_7_image_1.png,['Plots and Charts'],?,Hard,multiple-choice,Macroeconomics
test_Economics_8,Explain this situation: <image 1>,"['The import price is as high as the equilibrium price without international trade. There will be imports. The import tariff and the cost of transport protect home suppliers.', 'The import price is as high as the equilibrium price without international trade. There will be no imports. The import tariff and the cost of transport protect home suppliers.', 'The import price is as high as the equilibrium price without international trade. There will be no imports. The import tariff and the cost of transport will not protect home suppliers. ']",?,MMMU_Economics_images/test\test_Economics_8_image_1.png,['Diagrams'],?,Easy,multiple-choice,Macroeconomics
test_Economics_9,"Four roommates are planning to spend the weekend in their dorm room watching old movies, and they are debating how many to watch. Here is their willingness to pay for each film:  <image 1> If it costs $8 to rent a movie, and the roommates would rent a certain number to maximize total surplus. What will the total surplus among the four roommates be?","['13', '14', '15', '16']",?,MMMU_Economics_images/test\test_Economics_9_image_1.png,['Tables'],?,Hard,multiple-choice,Principals of Economics
test_Economics_10,Market for EUR in the US: <image 1> What happens to the market for EUR if more people from EUR-countries spend their vacation in the US? ,"['Demand for $ (and supply of EUR) will rise.', 'Demand for $ (and supply of EUR) will fall.', 'Demand for $ (and supply of EUR) will remain unchanged.']",?,MMMU_Economics_images/test\test_Economics_10_image_1.png,['Plots and Charts'],?,Easy,multiple-choice,Macroeconomics
test_Economics_11,"There are three industrial firms in Happy Valley. <image 1> The government wants to reduce pollution to 120 units, so it gives each firm 40 tradable pollution permits. Who buys permits and how many do they buy?","['Firm A buys permits and it would buy 50 units.', 'Firm A buys permits and it would buy 40 units.', 'Firm B buys permits and it would buy 40 units.', 'Firm B buys permits and it would buy 50 units.']",?,MMMU_Economics_images/test\test_Economics_11_image_1.png,['Tables'],?,Easy,multiple-choice,Principals of Economics
test_Economics_12,Consider the following information for Slovenia. <image 1> Suppose that there is a decrease in Exports by $20.  What is the new equilibrium level of GDP in the income-expenditure model?,"['3550', '3476', '3690', '3547']",?,MMMU_Economics_images/test\test_Economics_12_image_1.png,['Tables'],?,Medium,multiple-choice,Macroeconomics
test_Economics_13,The figure below depicts labor market adjustments in a country after migrant arrival where the labor supply moves from Ls1 to Ls2 and the union negotiated wage drops from w0 to w1. What is true about unemployment in this economy after migration? <image 1>,"['Unemployment is L0 - L2 for native and L2 - L1 for foreigners.', 'Unemployment is 1/2(L2 - L1) for foreigners and 1/2(L2 - L1) natives.', ""Migration has no impact on natives' unemployment (pure supply effect)."", 'None of the above statements are correct.']",?,MMMU_Economics_images/test\test_Economics_13_image_1.png,['Plots and Charts'],?,Medium,multiple-choice,Labor Economics
test_Economics_14,"<image 1> Edna is living in a retirement home where most of her needs are taken care of, but she has some discretionary spending. Based on the basket of goods in Table 9.5, by what percentage does Edna's cost of living increase between time 1 and time 2?","['4.85%.', '5.85%.', '6.85%.', '7.85%.']",?,MMMU_Economics_images/test\test_Economics_14_image_1.png,['Tables'],?,Medium,multiple-choice,Macroeconomics
test_Economics_15,"To find out if there is any relationship between teacher's pay and per pupil expenditure in public schools, Table 1 shows the LS regression results of a regression relating the average annual teacher salary in thousands of dollars (Salary) as a function of the spending on public schools per pupil in thousands of dollars (Expenditure) for the 51 states of the US in 1985. <image 1> Looking for evidence about differences between three geographical regions in the US: Northeast and North Central (21 states), South (17 states) and West (13 states), we defined three dummy variables: D1, which is equal to 1 if the state is in the West, and equal to 0 otherwise; D2 which is equal to 1 if the state is in the Northeast and North Central region, and equal to 0 otherwise; and D3 which is equal to 1 if the state is in the South, and equal to 0 otherwise. Adding these variables to the previous model yields the results shown in Table 2. <image 2> According to Tables 1 and 2, which of the following statements is FALSE?","['If the expenditure in public schools is $1000, the estimated Salary of a teacher in the West region is about $16558, the estimated Salary of a teacher in the Northeast/North Central region is about $14884 and the estimated Salary of a teacher in the South is about $15414', 'The Salary of the teachers in the South is statistically different from that of the teachers in the West at the 5% level, but it is not statistically different at 1%, assuming that Expenditure is the same for both regions.', 'The value of the statistic computed to test whether the Salary of the teachers in public schools is the same in the three regions in the US is equal to 2.19 (rounding to two decimals places). As $Prob[F(2,47) $ \\leqslant $ 3.19]=0.95$, the previous hypothesis cannot be rejected at the 5% level of significance.']",?,MMMU_Economics_images/test\test_Economics_15_image_1.png;MMMU_Economics_images/test\test_Economics_15_image_2.png,['Tables'],?,Hard,multiple-choice,Econometrics
test_Economics_16,"The following table describes the production possibilities of two cities in the country of Baseballia: <image 1> If the cities trade with each other, which color sock will each export?","['Boston will export white socks and Chicago will export red socks', 'Boston will export red socks and Chicago will export white socks', 'Boston will export both white and red socks', 'Chicago will export both white and red socks']",?,MMMU_Economics_images/test\test_Economics_16_image_1.png,['Tables'],?,Medium,multiple-choice,Principals of Economics
test_Economics_17,The table below describes production possibilities for Mexico and Nigeria. Each number in the table shows the number of workers needed to produce one unit of the product. <image 1> Suppose that both countries have 90 workers. Which country should be exporting Shoes?,"['Nigeria', 'Neither country', 'Mexico']",?,MMMU_Economics_images/test\test_Economics_17_image_1.png,['Tables'],?,Easy,multiple-choice,Macroeconomics
test_Economics_18,"Below are the estimation results of a linear regression model testscri = $\beta $0 + $\beta $1Di + ui, where Di = 1 if stri < 20 and Di = 0 otherwise. What are the sample average of testscr for the subsample with stri $\ge $ 20? <image 1>","['7.24', '7.34', '7.37']",?,MMMU_Economics_images/test\test_Economics_18_image_1.png,['Tables'],?,Medium,multiple-choice,Econometrics
test_Economics_19,"Ernie owns a water pump. Because pumping large amounts of water is harder than pumping small amounts, the cost of producing a bottle of water rises as he pumps more. Here is the cost he incurs to produce each bottle of water:<image 1>If the price of a bottle of water is $4, How much producer surplus does Ernie get from these sales? ","['2', '3', '4', '5']",?,MMMU_Economics_images/test\test_Economics_19_image_1.png,['Tables'],?,Medium,multiple-choice,Principals of Economics
test_Economics_20,Suppose that we observe relative price increase of US goods. Which graph most accurately shows how this would affect the aggregate demand - aggregate supply model? Note that the new curve is shown in gray.,"['<image 1>', '<image 2>', '<image 3>', '<image 4>']",?,MMMU_Economics_images/test\test_Economics_20_image_1.png;MMMU_Economics_images/test\test_Economics_20_image_2.png;MMMU_Economics_images/test\test_Economics_20_image_3.png;MMMU_Economics_images/test\test_Economics_20_image_4.png,['Plots and Charts'],?,Medium,multiple-choice,Macroeconomics
test_Economics_21,The table below describes production possibilities for Mexico and Nigeria. Each number in the table shows the number of workers needed to produce one unit of the product. <image 1> Suppose that both countries have 90 workers. Which country has a comparative advantage in producing Glasses?,"['Nigeria', 'Neither country', 'Mexico']",?,MMMU_Economics_images/test\test_Economics_21_image_1.png,['Diagrams'],?,Easy,multiple-choice,Macroeconomics
test_Economics_22,The graph below shows the AD-AS diagram for Spain. Suppose that the economy experiences a negative aggregate demand shock denoted by the move from AD1 to AD2. Note that the new curve is shown in gray. <image 1> What happened to the structural unemployment in Spain(select one)?,"['Structural unemployment remained the same.', 'Structural unemployment decreased.', 'Structural unemployment increased.']",?,MMMU_Economics_images/test\test_Economics_22_image_1.png,['Plots and Charts'],?,Easy,multiple-choice,Macroeconomics
test_Economics_23,"Below are the estimation results of the linear regression model testscri = $\beta $0 + $\beta $1stri + ui. We want to test the null hypothesis H0 : $\beta $1 = -2 at the significance level 5%. The 95% confidence interval for $\beta $1 is [-3.30.-1.26], do you reject the null hypothesis against the alternative hypothesis? <image 1>","['Reject H0.', 'Accept H0.', 'Both are OK.']",?,MMMU_Economics_images/test\test_Economics_23_image_1.png,['Tables'],?,Easy,multiple-choice,Econometrics
test_Economics_24,The monopoly has constant MC of 5. Which P and which Q* will be chosen? <image 1>,"['P=7, Q*=2, Profit=4', 'P=6, Q*=3, Profit=4', 'P=5, Q*=2, Profit=3']",?,MMMU_Economics_images/test\test_Economics_24_image_1.png,['Tables'],?,Medium,multiple-choice,Microeconomics
test_Economics_25,"The following table describes the production possibilities of two cities in the country of Baseballia: <image 1> Without trade, which city has an absolute advantage in the production of red socks?","['Chicago', 'Boston', 'None of above']",?,MMMU_Economics_images/test\test_Economics_25_image_1.png,['Tables'],?,Medium,multiple-choice,Principals of Economics
test_Economics_26,"Suppose you are a typical person in the U.S. economy. You pay 4 percent of your income in a state income tax and 15.3 percent of your labor earnings in federal payroll taxes (employer and employee shares combined). You also pay federal income taxes as in <image 1>. Taking all taxes into account, what are your average tax rate? ","['24.3%', '34.3%', '44.3%', '54.3%']",?,MMMU_Economics_images/test\test_Economics_26_image_1.png,['Tables'],?,Medium,multiple-choice,Principals of Economics
test_Economics_27,<image 1> The PPF diagram for the island country of Beckham indicates that its economic resources are used in the production of tea and crumpets. What does the shape of this Production Possibilities Frontier suggest?,"['economic resources are perfectly substitutable from production of tea to production of crumpets.', 'citizens prefer that an equal amount of tea and crumpets be produced.', 'the opportunity cost of producing crumpets rises as more crumpets are produced.', 'the opportunity cost of producing crumpets is constant along the curve.', 'the opportunity cost of producing tea falls as you produce more tea.']",?,MMMU_Economics_images/test\test_Economics_27_image_1.png,['Plots and Charts'],?,Medium,multiple-choice,Macroeconomics
test_Economics_28,"Figure 1 displays the number of cases of Melanoma (Mt) in the male population of a US State, from 1936 to 1972. Figure 2 shows the Spanish Industrial Production Index (IPIt), from January 1975 to March 2001. <image 1>  <image 2> According to figures 1 and 2, which of the following statements is FALSE:","['IPIt displays a strong seasonality.', 'Both time series are mean stationary.', 'Both time series display a trending behavior.']",?,MMMU_Economics_images/test\test_Economics_28_image_1.png;MMMU_Economics_images/test\test_Economics_28_image_2.png,['Plots and Charts'],?,Easy,multiple-choice,Econometrics
test_Economics_29,This graph shows the AD-AS diagram for Mexico: <image 1> What type of the GDP gap is observed in Mexico?,"['The economy is facing an inflationary gap.', 'There is no recessionary or inflationary gap.', 'The Economy is facing a recessionary gap.']",?,MMMU_Economics_images/test\test_Economics_29_image_1.png,['Plots and Charts'],?,Medium,multiple-choice,Macroeconomics
test_Economics_30,"Consider an oligarchic competition model, why is the D curve kinked? <image 1>","['If an oligopolist raises P, other oligopolists will not follow; If an oligopolist lowers P, other oligopolists will follow.', 'If an oligopolist raises P, other oligopolists will follow; If an oligopolist lowers P, other oligopolists will follow.', 'If an oligopolist raises P, other oligopolists will follow; If an oligopolist lowers P, other oligopolists will not follow.']",?,MMMU_Economics_images/test\test_Economics_30_image_1.png,['Plots and Charts'],?,Easy,multiple-choice,Microeconomics
test_Economics_31,"<image 1> <image 2>The country of Pepperland exports steel to the Land of Submarines. Information for the quantity demanded (Qd) and quantity supplied (Qs) in each country, in a world without trade, are given in Table 21.6 and Table 21.7. What would be the equilibrium price and quantity in each country if trade is allowed to occur?","['at a price level of $70 and a quantity of 200 Units', 'at a price level of $90 and a quantity of 400 Units', 'at a price level of $80 and a quantity of 580 Units', 'at a price level of $80 and a quantity of 620 Units']",?,MMMU_Economics_images/test\test_Economics_31_image_1.png;MMMU_Economics_images/test\test_Economics_31_image_2.png,['Tables'],?,Medium,multiple-choice,Macroeconomics
test_Economics_32,<image 1> The above figure represents a short-run equilibrium of a small economy in a fixed exchange rate regime. The reason that the long-run aggregate demand curve is horizontal at the rate of inflation of the rest of the world $\pi$* is ...,"['...that in the long-run the price level is assumed perfectly flexible.', '...that under fixed exchange rates, the money supply is exogenous.', '...that the marginal propensity to import is assumed to be a constant fraction of GDP.', '...the principle of long-run PPP.']",?,MMMU_Economics_images/test\test_Economics_32_image_1.png,['Plots and Charts'],?,Easy,multiple-choice,Macroeconomics
test_Economics_33,The graph below shows the AD-AS diagram for Spain. Suppose that the economy experiences a negative aggregate demand shock denoted by the move from AD1 to AD2. Note that the new curve is shown in gray. <image 1> What has happened to the cyclical unemployment in Spain (select one)?,"['Cyclical unemployment remains the same.', 'Cyclical unemployment decreased.', 'Cyclical unemployment increased.']",?,MMMU_Economics_images/test\test_Economics_33_image_1.png,['Plots and Charts'],?,Medium,multiple-choice,Macroeconomics
test_Economics_34,<image 1>  Calculate marginal cost (between Q5 and Q6).,"['24', '28', '16']",?,MMMU_Economics_images/test\test_Economics_34_image_1.png,['Tables'],?,Easy,multiple-choice,Microeconomics
