ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label,shared_description,description,待处理,Train,Filter,type
733,34,,,"A due diligence specialist is evaluating the risk management process of a hedge fund in
which his company is considering making an investment. Which of the following statements best
describes criteria used for such an evaluation?",,"{'A': ""Because of the overwhelming importance of tail risk', the company should not invest in the\nfund unless it fully accounts for fat tails using extreme value theory at the 99.99% level when\nestimating VaR."", 'B': ""Today's best practices in risk management require that a fund employ independent risk service\nproviders and that these service providers play important roles in risk-related decisions"", 'C': ""When considering a leveraged fund', the specialist should assess how the fund estimates risks\nrelated to leverage', including funding liquidity risks during periods of market stress."", 'D': ""It is crucial to assess the fund's valuation policy', and in general if more than 10% of asset""}",C,"Generally speaking, with a leveraged fund, an investor will need to evaluate
historical and current changes in leverage, as well as the level of liquidity of the portfolio,
particularly during times of market stress. Certain strategies may in fact expose an investor
to tail risk, so while an investor should inquire whether the manager believes that tail risk
exists, and whether or not it is hedged, it is then up to the investor to decide whether to
accept the risk unhedged or hedge it on their own. Many funds employ independent risk service
providers to report risks to investors, but these firms do not get involved in risk related
decision making. And finally, while it is important to know what percentage of the assets is
exchange-traded and marked to market, what might be acceptable may differ depending on the
strategy of the fund.",Knowledge Reasoning QA,text only,Easy,"Leverage Risks, Liquidity Risk, Risk Assessment Criteria",Risk Management and Investment Management,Risk Management and Investment Management1,,,,,1,<class 'str'>
743,44,,,"Which of the following statements about risk management in the pension fund industry is
correct?",,"{'A': ""A pension plan's total VaR is equal to the sum of its policy-mix VaR and active-management\nVaR"", 'B': ""Pension fund risk analysis does not consider performance relative to a benchmark."", 'C': ""In most defined-benefit pension plans', if liabilities exceed assets', the shortfall does not\ncreate a risk for the plan sponsor."", 'D': ""From the plan sponsor's perspective', nominal pension obligations are similar to a short""}",D,Nominal pension obligations are similar to a short position in a bond,Knowledge Reasoning QA,text only,Easy,"Pension fund risk management, Defined-benefit pension plans, Risk analysis and benchmarks",Risk Management and Investment Management,Risk Management and Investment Management1,,,,,1,<class 'str'>
1102,26,,,"Brandon Wiene is a financial analyst covering the beverage industry. He is evaluating the
impact of DEF Beverage's new product line of flavored waters. DEF currently has a debt-to-
equity ratio of 0.6. The new product line would be financed with $50 million of debt and $100
million of equity. In estimating the valuation impact of this new product line on DEF's value,
Wiene has estimated the equity beta and asset beta of comparable companies. In calculating the
equity beta for the product line, Wiene is intending to use DEF's existing capital structure
when converting the asset beta into a project beta. Which of the following statements is
correct?",,"{'A': ""Using DEF's debt-to-equity ratio of 0.6 is appropriate in calculating the new product line's\nequity beta"", 'B': ""Using DEF's debt-to-equity ratio of 0.6 is not appropriate', but rather the debt-to-equity\nratio of the new product', 0.5', is appropriate to use in calculating the new product line's\nequity beta"", 'C': ""Wiene should use the new debt-to-equity ratio of DEF that would result from the additional""}",B,"The debt-to-equity ratio of the new product should be used when making the adjustment from the asset beta, derived from the comparable, to the equity beta of the new product. 

This question asks about Brandon Wiene, a financial analyst responsible for the beverage industry. He is evaluating the impact of DEF Beverage's new flavored water product line. DEF currently has a debt-to-equity ratio of 0.6. The new product line will be financed with $50 million in debt and $100 million in equity. When assessing the impact of this new product line on DEF's value, Wiene evaluates the equity betas and asset betas of comparable companies. 

When calculating the product line's equity beta, Wiene intends to use DEF's existing capital structure to convert the asset beta to the project beta. Which of the following statements is correct? 

To analyze the beta values, the capital structure to use is the debt-to-equity ratio of the new product, which should be $50/100 = 0.5$. Therefore, option B is correct",Knowledge Reasoning QA,text only,Easy,"Capital Structure, Equity Beta, Asset Beta",Corporate Finance,level1_公司金融,,,,,,<class 'str'>
1170,17,"Jack Dewey is managing partner of DC&H, an investment management firm, and Supriya
Sardar is an equity analyst with the firm. Dewey recently took over management of the firm’s
Purity Fund. He is developing a fundamental active investment process for managing this fund
that emphasizes financial strength and demonstrated profitability of portfolio companies. At
his previous employer, Dewey managed a fund for which his investment process involved taking
active exposures in sectors based on the macroeconomic environment and demographic trends.Dewey
and Sardar meet to discuss developing a fundamental active investment process for the Purity
Fund. They start by defining the investment universe and market opportunity for the fund, and
then they pre-screen the universe to obtain a manageable set of securities for further, more
detailed analysis. Next, Dewey notes that industry and competitive analysis of the list of
securities must be performed. He then asks Sardar to recommend the next step in development of
the fundamental active management process.During the next few months, Dewey rebalances the
Purity Fund to reflect his fundamental active investment process. Dewey and Sardar meet again
to discuss potential new investment opportunities for the fund. Sardar recommends the purchase
of AZ Industrial, which she believes is trading below its intrinsic value, despite its high
price-to-book value (P/B) relative to the industry average.Dewey asks Sardar to perform a
bottom-up style analysis of the Purity Fund based on the aggregation of attributes from
individual stocks in the portfolio. Dewey plans to include the results of this style analysis
in a profile he is preparing for the fund.
 ",,Sardar's recommendation for the next step should be to:,,"{'A': ""review results from back-testing the strategy."", 'B': ""make recommendations for rebalancing the portfolio."", 'C': ""forecast companies' performances and convert those forecasts into valuations""}",C,"The steps to developing a fundamental active investment process are as follows:1
Define the investment universe and the market opportunity—the perceived opportunity to earn a
positive risk-adjusted return to active investing, net of costs—in accordance with the
investment mandate. The market opportunity is also known as the investment thesis.2 Prescreen
the investment universe to obtain a manageable set of securities for further, more detailed
analysis.3 Understand the industry and business for this screened set by performing industry
and competitive analysis and analyzing financial reports.4 Forecast company performance, most
commonly in terms of cash flows or earnings.5 Convert forecasts to valuations and identify ex
ante profitable investments.6 Construct a portfolio of these investments with the desired risk
profile.7 Rebalance the portfolio with buy and sell disciplines.So, Sardar should recommend
that the next step in the development of the fundamental active management process be
forecasting companies' performances and converting those forecasts into valuations.",Knowledge Reasoning QA,text only,Easy,"Investment Analysis, Portfolio Management, Fundamental Analysis",Equity Portfolio Management,Equity Portfolio Management,,,,,,<class 'str'>
1226,41,"Barbara Andrade is an equity analyst who covers the entertainment industry for
Greengable Capital Partners, a major global asset manager. Greengable owns a significant
position with a large unrealized capital gain in Mosely Broadcast Group (MBG). On a recent
conference call, MBG's management states that they plan to increase the proportion of debt in
the company's capital structure. Andrade is concerned that any changes in MBG's capital
structure will negatively affect the value of Greengable's investment.To evaluate the potential
impact of such a capital structure change on Greengable's investment, she gathers the
information about MBG given in Exhibit 1.
Andrade expects that an increase in MBG's financial leverage will increase its costs of debt
and equity. Based on an examination of similar companies in MBG's industry, Andrade estimates
MBG's cost of debt and cost of equity at various debt-to-total capital ratios, as shown in
Exhibit 2.","['images/CorporateIssuers_images/share40-42_1.png"", 'images/CorporateIssuers_images/share40-42_2.png']","Holding operating earnings constant, an increase in the marginal tax rate to",,"{'A': ""result in a lower cost of debt capital."", 'B': ""result in a higher cost of debt capital."", 'C': ""not affect the company's cost of capital""}",A,The after-tax cost of debt decreases as the marginal tax rate increases.,Knowledge Reasoning QA,text+image,Hard,"Corporate finance, Tax effects on financing decisions, Cost of capital",Corporate Finance,Corporate Issuers,"### Image Description

The image consists of two tables labeled as ""Exhibit 1"" and ""Exhibit 2."" Both tables present financial information related to MBG.

#### **Exhibit 1: Current Selected Financial Information for MBG**
This table provides key financial metrics for MBG and is structured as follows:

- **Layout**: 
  - The table has one header and six rows, each displaying a different financial metric.
  
- **Headers and Data**:
  - **Yield to maturity on debt**: 8.00%
  - **Market value of debt**: $100 million
  - **Number of shares of common stock**: 10 million
  - **Market price per share of common stock**: $30
  - **Cost of capital if all equity-financed**: 10.3%
  - **Marginal tax rate**: 35%

This exhibit gives an overview of MBG's current financial standing, including debt-related figures and equity prices.

#### **Exhibit 2: Estimates of MBG's before Tax Costs of Debt and Equity**
This table illustrates estimates of costs tied to different debt-to-total capital ratios for MBG.

- **Layout**:
  - The table includes one header with three columns and four rows of data.

- **Columns**:
  - **Debt-to-Total Capital Ratio (%)**: Specifies the percentage of total capital that is debt.
  - **Cost of Debt (%)**: Lists estimated costs associated with each debt level.
  - **Cost of Equity (%)**: Provides estimated costs associated with equity.

- **Data**:
  - **20% Ratio**: Cost of Debt - 7.7%, Cost of Equity - 12.5%
  - **30% Ratio**: Cost of Debt - 8.4%, Cost of Equity - 13.0%
  - **40% Ratio**: Cost of Debt - 9.3%, Cost of Equity - 14.0%
  - **50% Ratio**: Cost of Debt - 10.4%, Cost of Equity - 16.0%

#### **Additional Details**
- The tables are neatly organized, with bold headers marking each exhibit.
- The data is clearly aligned into rows and columns to facilitate easy reading and interpretation.
- The information aids in understanding MBG's financial structure and cost estimations under various capital structures.

Overall, the tables provide a clear snapshot of",,,1,1,<class 'str'>
1327,76,,,The most accurate description of nominal GDP is:,,"{'A': ""a measure of total expenditures at current prices."", 'B': ""the value of goods and services at constant prices."", 'C': ""a measure to compare one nation's economy to another""}",A,"Nominal GDP is defined as the value of goods and services measured at
current prices. Expenditure is used synonymously with the value of goods and services since
aggregate expenditures must equal aggregate output of an economy.",Knowledge Reasoning QA,text only,Easy,"Gross Domestic Product (GDP), Nominal vs Real GDP, Economic Indicators",Economics,level1_经济学,,,,,1,<class 'str'>
1423,10,,,"The single-factor model is used to examine the impact of varying default correlations based
on a credit position's beta. Each individual firm or credit, i, has a beta correlation, βi,
with the market, m. Which of the following statements most accurately describes the implication
of using a specific value m for the market parameter in the single-factor model?",,"{'A': ""The conditional\\nprobability of default will be greater than the unconditional probability of"", 'B': ""The\\nunconditional standard deviation is less than the conditional standard deviation."", 'C': ""Individual\\nidiosyncratic shocks', εi', are positively correlated to other firms' shocks"", 'D': ""Individual asset returns', aj', are independent from other firms' shocks and returns""}",D,"Important implication of the single-factor model is thatindividual asset returns,
αi, and idiosyncratic shocks, εi are independent from other firms' shocks and returns.",Knowledge Reasoning QA,text only,Hard,"Credit risk modeling, Default correlation, Single-factor model",Credit Risk Measurement and Management,Credit Risk Measurement and Management2,,,,1,1,<class 'str'>
1500,38,,,"Brenden Hemme, a portfolio manager with Quantum Funds, is constructing an equally weighted,
two-asset portfolio. Asset returns are normally distributed. Hemme would like to limit the
portfolio VaR to $45 million at the 95% confidence level. He will invest $200 million in each
asset. Given the following information, determine which two-asset portfolio allows Hemme to
remain within the proposed risk budget.",images/RiskManagementandInvestmentManagement2_images/38u.png,"{'A': ""Portfolio AB."", 'B': ""Portfolio AC."", 'C': ""Portfolio BC."", 'D': ""All three potential portfolios exceed Hemme's\\nrisk budget""}",C,"Standard deviation of returns for Portfolio AB =  [(0.5)2(10)2 + (0.5)2(9)2 +
(2x0.5x0.5x10x9x0.6)]1/2 =8.50% VaRAB = 1.6 x 0.085 x $400 = $56.1 million Standard deviation
of returns for Portfolio AC = [(0.5)2(10)2 + (0.5)2(11)2 + (2x0.5x0.5x10x11x0.0)]1/2 = 7.43%
VaRAC = 1.65 x 0.743 x $400 = $49.04 million Standard deviation of returns for Portfolio BC =
[(0.5)2(9)2 + (0.5)2(11)2 + (2x0.5x0.5x9x11x(-0.4))]1/2 = 5.54% VaRBC = 1.65 x 0.0554 x $400 =
$36.56 million Based on a limit of $45 million, Portfolio BCremains in Hemme’s risk limit. The
portfolio standard deviation is lower forPortfolio BC because the correlation coefficient is
negative, reducing the VaR.     (1)",Math Reasoning QA,text+image,Hard,"Value at Risk (VaR), Portfolio Construction, Correlation and Covariance",Risk Management and Investment Management,RiskManagement and Investment Management2,,"The image contains a structured table with information about three different assets. The layout includes three columns with headers and three rows of data. Here's a detailed description:

### Table Layout:
- **Headers:**
  - **Asset**: The category or name of the asset.
  - **Standard Deviation**: The standard deviation associated with each asset, indicating the level of risk or volatility.
  - **Correlation**: The correlation coefficients between the specified asset and another asset.

### Data:
- **Row 1:**
  - **Asset**: Asset A
  - **Standard Deviation**: 10%
  - **Correlation**: Correlation of A with B = 0.6

- **Row 2:**
  - **Asset**: Asset B
  - **Standard Deviation**: 9%
  - **Correlation**: Correlation of B with C = -0.4

- **Row 3:**
  - **Asset**: Asset C
  - **Standard Deviation**: 11%
  - **Correlation**: Correlation of C with A = 0

### Labels and Symbols:
- The text is clear with each correlation value specified precisely.
- Numerical data is presented with percentages or correlation coefficients.

### Key Insights:
- Asset A and Asset B have a positive correlation of 0.6, suggesting they move in the same direction.
- Asset B and Asset C have a negative correlation of -0.4, suggesting they move in opposite directions.
- Asset C and Asset A are uncorrelated with a coefficient of 0, indicating no linear relationship.

This table effectively summarizes the volatility and correlation between the specified assets, which is useful for assessing risk and diversification strategies.",,1,1,<class 'str'>
1695,63,,,"Which of the following statements best describes marking-to-market of a futures contract? At
the:",,"{'A': ""End of the day，the maintenance margin is increased for traders who lost and decreased for\ntraders who gained."", 'B': ""End of the day, the gains or losses are tallied to the trader's account"", 'C': ""Maturity of the futures contract, the gains or losses are tallied to the trader's account"", 'D': ""Conclusion of each trade, the gains or losses from all previous trades in the futures""}",B,"Marking-to-market means that, at the end of the day, all gains or losses are
tallied to the trader’s account.",Knowledge Reasoning QA,text only,Easy,"Futures Contracts, Mark-to-Market, Margin Requirements",Financial Markets and Products,Financial Markets and Products1,,,,,1,<class 'str'>
1980,67,,,A dealer bank's liquidity crisis is least likely to be accelerated by:,,"{'A': ""the refusal of repurchase agreement creditors to renew their positions."", 'B': ""the flight of prime brokerage clients."", 'C': ""a counterparty's request for a novation through another dealer bank"", 'D': ""depositors removing their savings from the dealer bank.""}",D,"A liquidity crisis for a dealer bank is accelerated if counterparties try to reduce
their exposure by restructuring existing OTC derivatives with the dealer or by requesting a
novation. The flight of repo creditors and prime brokerage clients can also accelerate a
liquidity crisis. Lastly, the loss of cash settlement privileges is the final collapse of a
dealer bank's liquidity.",Knowledge Reasoning QA,text only,Easy,"Liquidity risk, Counterparty risk, Prime brokerage.",Liquidity and Treasury Risk Measurement,Liquidity and Treasury Risk Measurement and Man1,,,,,1,<class 'str'>
2116,11,,,"The CEO of a regional bank understands that failing to anticipate cash flow needs is one of
the most serious errors that a firm can make and demands that a good liquidity-at-risk (LaR)
measurement system be an essential part of the bank's risk management framework. Which of the
following statements concerning LaR is correct?",,"{'A': ""Reducing the basis risk through hedging decreases LaR."", 'B': ""Hedging using futures has the same impact on LaR as\\nhedging using long option positions."", 'C': ""For a hedged portfolio', the LaR can differ\\nsignificantly from the VaR."", 'D': ""A firm's LaR tends to decrease as its credit quality\\ndeclines""}",C,"The LaR can differ substantially from the VaR in a hedgedportfolio, and in
different situations can be larger or smaller than the VaR.For example, consider a portfolio
where futures contracts are used tohedge.  While the hedge can reduce theVaR of the portfolio,
the LaR can be larger than the VaR as the futurescontracts create an exposure to margin calls
and the potential for cashoutflows. Alternatively, in situations where the hedging instruments
do notresult in potential cash outflows over the measurement period (e.g. a portfolioof
European options which do not expire during the period), the LaR can besmaller than the VaR.(1)",Knowledge Reasoning QA,text only,Hard,"Liquidity-at-Risk (LaR), Value-at-Risk (VaR), Hedging Strategies",Operational Risk,Operational Riskand Resiliency2,,,,1,1,<class 'str'>
2164,13,"Adam Craw, CFA, is chief executive officer (CEO) of Crawfood, a European private equity
firm specializing in food retailers. The retail food industry has been consolidating during the
past two years as private equity funds have closed numerous deals and taken many companies
private.Crawfood recently hired Lillian Voser, a CFA Level II candidate, as a controller. On
Voser's first day of work, the head of personnel informs her that by signing the employment
contract, Voser agrees to comply with the company's code of ethics and compliance manual. She
hands Voser copies of the code and compliance manual without further comment. Voser spends the
next hour reading both documents. An excerpt from the compliance manual appears in Exhibit 1.
When she enters her new office that afternoon, Voser finds a large gift basket sent by her
sister. The card reads “Congratulations on your new position.” The basket is filled with
expensive high-quality food items from Greenhornfood—a local small, publicly-traded food
retailer, which produces many delicatessen products under its own brand name.During the next
two weeks, Voser meets with all of Crawfood's upper management, including the CEO. In his
office, Craw praises Voser's efforts to complete the CFA program. “The program is demanding,
but it is worthwhile.” Craw then explains his investment strategy for choosing Crawfood's
acquisition targets. He points to a large map on the wall with multi-colored pins marking
Crawfood's previous takeovers. The map shows acquisitions in all the major cities of Germany
with one exception—the home of Crawfood headquarters. Craw remarks, “We are currently in
talks for another purchase. Confidentiality prohibits me from discussing it any further, but
you will hear more about it soon.”Introduced to Greenhornfood by her sister, Voser quickly
becomes a loyal customer. She considers it the best food retailer in the vicinity and she
frequently purchases its products.The following week, the local newspaper features an article
about Greenhornfood and its young founders. The article describes the company's loyal and
growing customer base as well as its poor quarterly financial results. Voser notes that the
stock has steadily declined during the past twelve months. She concludes that the company has
an inexperienced management team, but its popular product line and loyal customer base make the
company a potential acquisition target. Voser calls her sister and recommends that she purchase
Greenhornfood shares because “it would be an attractive acquisition for a larger company.”
Based on Voser's recommendation, her sister buys €3,000 worth of shares.During the following
two weeks the stock price of Greenhornfood continues to decline. Voser's sister is uncertain of
what she should do with her position. She seeks Voser's advice. Voser recommends that her
sister wait another few days before making her decision and promises to analyze the situation
in the meantime.While walking by Craw's office the following day, Voser sees a document with
Greenhornfood's distinctive logo and overhears the company's name through an open office door.
That evening, Voser tells her sister, “with the price decline, the stock is even more
attractive.” She recommends that her sister increase her position. Based on her recommendation
her sister buys an additional €3,000 worth of Greenhornfood shares.One month later, Crawfood
publicly announces the acquisition of Greenhornfood Company at a 20% premium to the previous
day's closing price. Following the announcement, Voser's sister boasts about Voser's excellent
recommendation and timing to her broker.Regulatory authorities initiate an investigation into
suspicious trading in Greenhornfood shares and options preceding the formal announcement of the
acquisition. Craw receives a letter from regulatory authorities stating that he is the subject
of a formal investigation into his professional conduct surrounding the acquisition. He learns
from the compliance officer that Voser is also under investigation. The compliance officer
provides no details and out of respect for Voser's privacy, Craw makes no inquiries.The
situation remains unchanged and the matter is still pending with regulatory authorities several
months later when Craw receives his annual Professional Conduct Statement (PCS) from CFA
Institute. He reviews the text asking “In the last two years, have you been . . . the subject
of…any investigation…in which your professional conduct, in either a direct or supervisory
capacity, was at issue?”
 ",['images/EthicalandProfessionalStandards_images/share12-17_1.png'],"According to the CFA Institute Standards, must Voser obtain permission from",,"{'A': ""No."", 'B': ""Yes', because the value of the basket is higher than €50."", 'C': ""Yes', because consent is required by the company's compliance procedures""}",A,"According to Standard I(B)–Independence and Objectivity, members must use
reasonable care and judgment to achieve and maintain independence and objectivity in their
professional activities. Although it was sent to Voser's office, the gift basket is a private
gift from Voser's sister and not likely to affect Voser's professional activities. According to
Excerpt 4 of the Crawfood compliance manual and Standard IV(B)–Additional Compensation
Arrangements, employees must obtain permission from their employer before accepting gifts,
compensation, or other benefits that compete with, or might create a conflict of interest with,
the employer's interests. The gift basket does not create a conflict or compete with the
employer's interests.",Knowledge Reasoning QA,text+image,Hard,"Standard I(B) – Independence and Objectivity, Standard IV(B) – Additional Compensation Arrangements, Conflict of Interest",Ethicaland Professional Standards,Ethicaland Professional Standards,"**Image Description:**

The image is a text excerpt titled ""Exhibit 1. Crawfood Company Compliance Manual Excerpts."" It contains a list of four compliance rules provided in a structured paragraph format. 

**Text and Instructions:**

1. **Rule 1:** Employees must not accept gifts, benefits, compensation, or consideration that competes with, or might reasonably be expected to create a conflict of interest with their employer’s interest unless they obtain written consent from all parties involved.

2. **Rule 2:** Officers have responsibility for ensuring that their direct reports—that is, employees whom they directly supervise—adhere to applicable laws, rules, and regulations.

3. **Rule 3:** Employees in possession of material nonpublic information should make reasonable efforts to achieve public dissemination of the information if such actions would not breach a duty.

4. **Rule 4:** Employees shall not trade or cause others to trade in securities of food retailers that may be potential takeover targets of their employer.

**Layout and Structure:**

- The layout consists of a numbered list of statements.
- Each point is clearly separated and numbered from 1 to 4.
- The title and list are contained within a rectangular border, which adds emphasis to the text.

**Summary:**

This excerpt from the Crawfood Company Compliance Manual outlines essential guidelines related to conflicts of interest, the responsibilities of officers, handling nonpublic information, and trading in securities. Each rule aims to ensure ethical behavior and compliance with laws and regulations. The format is clear and straightforward, intended for easy understanding and application by employees and officers.",,,1,1,<class 'str'>
2168,17,"Adam Craw, CFA, is chief executive officer (CEO) of Crawfood, a European private equity
firm specializing in food retailers. The retail food industry has been consolidating during the
past two years as private equity funds have closed numerous deals and taken many companies
private.Crawfood recently hired Lillian Voser, a CFA Level II candidate, as a controller. On
Voser's first day of work, the head of personnel informs her that by signing the employment
contract, Voser agrees to comply with the company's code of ethics and compliance manual. She
hands Voser copies of the code and compliance manual without further comment. Voser spends the
next hour reading both documents. An excerpt from the compliance manual appears in Exhibit 1.
When she enters her new office that afternoon, Voser finds a large gift basket sent by her
sister. The card reads “Congratulations on your new position.” The basket is filled with
expensive high-quality food items from Greenhornfood—a local small, publicly-traded food
retailer, which produces many delicatessen products under its own brand name.During the next
two weeks, Voser meets with all of Crawfood's upper management, including the CEO. In his
office, Craw praises Voser's efforts to complete the CFA program. “The program is demanding,
but it is worthwhile.” Craw then explains his investment strategy for choosing Crawfood's
acquisition targets. He points to a large map on the wall with multi-colored pins marking
Crawfood's previous takeovers. The map shows acquisitions in all the major cities of Germany
with one exception—the home of Crawfood headquarters. Craw remarks, “We are currently in
talks for another purchase. Confidentiality prohibits me from discussing it any further, but
you will hear more about it soon.”Introduced to Greenhornfood by her sister, Voser quickly
becomes a loyal customer. She considers it the best food retailer in the vicinity and she
frequently purchases its products.The following week, the local newspaper features an article
about Greenhornfood and its young founders. The article describes the company's loyal and
growing customer base as well as its poor quarterly financial results. Voser notes that the
stock has steadily declined during the past twelve months. She concludes that the company has
an inexperienced management team, but its popular product line and loyal customer base make the
company a potential acquisition target. Voser calls her sister and recommends that she purchase
Greenhornfood shares because “it would be an attractive acquisition for a larger company.”
Based on Voser's recommendation, her sister buys €3,000 worth of shares.During the following
two weeks the stock price of Greenhornfood continues to decline. Voser's sister is uncertain of
what she should do with her position. She seeks Voser's advice. Voser recommends that her
sister wait another few days before making her decision and promises to analyze the situation
in the meantime.While walking by Craw's office the following day, Voser sees a document with
Greenhornfood's distinctive logo and overhears the company's name through an open office door.
That evening, Voser tells her sister, “with the price decline, the stock is even more
attractive.” She recommends that her sister increase her position. Based on her recommendation
her sister buys an additional €3,000 worth of Greenhornfood shares.One month later, Crawfood
publicly announces the acquisition of Greenhornfood Company at a 20% premium to the previous
day's closing price. Following the announcement, Voser's sister boasts about Voser's excellent
recommendation and timing to her broker.Regulatory authorities initiate an investigation into
suspicious trading in Greenhornfood shares and options preceding the formal announcement of the
acquisition. Craw receives a letter from regulatory authorities stating that he is the subject
of a formal investigation into his professional conduct surrounding the acquisition. He learns
from the compliance officer that Voser is also under investigation. The compliance officer
provides no details and out of respect for Voser's privacy, Craw makes no inquiries.The
situation remains unchanged and the matter is still pending with regulatory authorities several
months later when Craw receives his annual Professional Conduct Statement (PCS) from CFA
Institute. He reviews the text asking “In the last two years, have you been . . . the subject
of…any investigation…in which your professional conduct, in either a direct or supervisory
capacity, was at issue?”
 ",['images/EthicalandProfessionalStandards_images/share12-17_1.png'],"According to the CFA Standards, Craw must disclose to CFA Institute the",,"{'A': ""his conduct."", 'B': ""Voser's conduct"", 'C': ""neither his conduct nor Voser's conduct""}",A,"As stated on page ix of the Standards of Practice Handbook, “Members and
candidates must self disclose on the annual Professional Conduct Statement all matters that
question their professional conduct, such as involvement in civil litigation, a criminal
investigation, or being the subject of a written complaint.” Standard VII(A)–Conduct as
Members and Candidates in the CFA Program prohibits conduct that compromises the reputation of
the CFA designation including misrepresenting information on the Professional Conduct
Statement. Members are encouraged but not required to report violations of others. At a
minimum, Craw should remind Voser of her duty to report the investigation.",Knowledge Reasoning QA,text+image,Hard,"Professional Conduct, CFA Institute Standards, Ethics",Ethicaland Professional Standards,Ethicaland Professional Standards,"The image is a snippet titled ""Exhibit 1. Crawfood Company Compliance Manual Excerpts."" It contains a numbered list outlining specific compliance guidelines for employees. Here is a detailed description:

### Text and Instructions:
- **Title:** ""Exhibit 1. Crawfood Company Compliance Manual Excerpts""

### List of Instructions:
1. **Gifts and Conflicts of Interest:** 
   - Employees must not accept any gifts, benefits, compensation, or consideration that could create a conflict of interest with their employer’s interests unless they receive written consent from all parties involved.

2. **Responsibility of Officers:**
   - Officers are responsible for ensuring that their direct reports, i.e., employees whom they directly supervise, adhere to applicable laws, rules, and regulations.

3. **Public Dissemination of Information:**
   - Employees with material nonpublic information should make efforts to publicly disseminate it, provided such actions do not breach any duty.

4. **Trading Restrictions:**
   - Employees are prohibited from trading or instigating others to trade in securities of food retailers that could be potential takeover targets of their employer.

### Layout and Structure:
- The content is presented as a formal, numbered list under a bold header.
- Each point is clearly numbered and articulated, focusing on ethical and responsible conduct related to conflicts of interest, regulatory compliance, information dissemination, and trading practices.

No tables, additional labels, special symbols, or financial metrics are present in this excerpt. The structure and content emphasize ethical guidelines and responsibilities for employees and officers within the Crawfood Company.",,,1,1,<class 'str'>
2174,6,,,Which of the following statements regarding the responsibilities of the chief risk officer (CRO) is least accurate?,,"{'A': "" The CRO should provide the vision for the organization's risk management"", 'B': "" The CRO may have a solid line reporting to the CEO or a dotted line reporting to the CEO and the board."", 'C': "" In addition to providing overall leadership for risk', the CRO should communicate the organization's risk profile to stakeholders"", 'D': "" Although the CRO is responsible for top-level risk management', he is not responsible for the analytical or systems capabilities for risk management.""}",D,"While it is accurate that the CRO is responsible for top-level risk management, he is also responsible for the analytical or systems capabilities for risk management.",Knowledge Reasoning QA,text only,Easy,"CRO responsibilities, risk management",Foundation of Risk Management,foundation of risk management1,,,,,1,<class 'str'>
2184,16,,,Which of the following statements regarding corporate risk governance is correct?,,"{'A': "" Management of the organization is ultimately responsible for risk oversight."", 'B': "" A risk committee is useful for enforcing the firm's risk governance principles"", 'C': "" Effective risk governance requires multiple levels of accountability and authority."", 'D': "" The point of risk governance is to minimize the amount of risk taken by the organization.""}",B,"The Board of Directors is ultimately responsible for risk oversight. Effective risk governance simply requires clear accountability, authority, and methods of communication; it is not necessary to have multiple levels. The point of risk governance is to consider the methods in which risk-taking is permitted, optimized, and monitored; it is not necessarily to minimize the amount of risk taken. The real point of risk governance is to increase the value of the organization from the perspective of the shareholders and/or stakeholders.",Knowledge Reasoning QA,text only,Easy,"corporate risk governance, risk oversight, risk committee",Foundation of Risk Management,foundation of risk management1,,,,,1,<class 'str'>
2198,30,,,Which of the following is TRUE about the relationship between the CAPM and the arbitrage pricing model (APT)?,,"{'A': "" CAPM assumes that the market is the only source of covariance between returns."", 'B': "" If we employ a procedure (e.g.', Roll and Ross) and identify more than one common factor', we can logically reject the CAPM."", 'C': "" Similar to the CAPM', in order to test the APT we need to identify a 'Market Portfolio' of all risky assets"", 'D': "" The APT solution with multiple factors appropriately priced is fully consistent with the form of the CAPM.""}",D,The simplest case in which an APT model is consistent with the simple form of the CAPM is the case where the return-generating function is of the form: R(i) = alpha(i) + beta(i) * R + e(i). The APT solution with multiple factors appropriately priced is fully consistent with the form of the CAPM. We wish to stress this point. Employing the Roll and Ross procedure and finding that more than one common factor is significantly different from zero is not sufficient proof to reject any CAPM.,Knowledge Reasoning QA,text only,Easy,"CAPM, APT model, factor pricing",Foundation of Risk Management,foundation of risk management1,,,,,1,<class 'str'>
